Robot Point x, Robot Point y, Angle, Velocity Point x, Velocity Point y, Objective Point X, Objective Point Y, TIME
96,567643, 28,817294, 2,688761, 81,714254, -20,269325, 159,681554, 5,753018, 31612,000000 
98,022370, 28,139952, 2,727716, 81,730794, -23,084114, 159,939135, 6,293964, 31631,000000 
99,516067, 27,515356, 2,766726, 79,920929, -24,953381, 159,842713, 7,133786, 31648,000000 
101,062350, 26,937930, 2,804656, 84,229568, -28,420321, 160,919391, 7,930802, 31664,000000 
102,657367, 26,408632, 2,841044, 80,252862, -30,372062, 159,968890, 8,736932, 31691,000000 
105,994453, 25,498460, 2,912382, 84,036070, -33,718511, 160,581692, 10,346147, 31725,000000 
105,994453, 25,498460, 2,912382, 84,036070, -33,718511, 160,581692, 10,346147, 31725,000000 
107,733072, 25,121611, 2,947295, 80,350860, -32,525464, 160,590936, 11,078106, 31755,000000 
109,516001, 24,799439, 2,981748, 82,872786, -33,402019, 160,363700, 11,885633, 31765,000000 
111,340338, 24,533816, 3,015299, 82,313662, -32,598347, 160,249298, 12,635134, 31787,000000 
113,074984, 24,338843, 3,048390, 83,745486, -32,239769, 160,164415, 13,434308, 31800,000000 
114,733151, 24,209246, 3,082547, 84,514839, -31,252891, 160,483304, 14,249919, 31819,000000 
116,385901, 24,137896, 3,117759, 83,895987, -29,344220, 159,782662, 15,030927, 31834,000000 
118,045215, 24,124764, -3,130213, 84,245170, -27,362561, 159,412626, 15,831803, 31859,000000 
119,724971, 24,170532, -3,095285, 89,142090, -26,361602, 159,159717, 16,768980, 31873,000000 
121,434899, 24,276503, -3,060980, 86,974922, -22,988387, 158,679477, 17,479461, 31894,000000 
123,106936, 24,437795, -3,026346, 93,998919, -21,793079, 158,411339, 18,515141, 31904,000000 
124,759894, 24,655407, -2,991635, 86,496410, -15,758999, 157,681160, 19,183130, 31940,000000 
126,413299, 24,931432, -2,957513, 87,902705, -12,975685, 157,293937, 20,029941, 31950,000000 
128,058899, 25,264106, -2,923468, 89,463796, -10,094284, 156,905511, 20,892690, 31964,000000 
129,711512, 25,657108, -2,889619, 91,587117, -7,175850, 156,629624, 21,626074, 31977,000000 
131,381584, 26,114193, -2,856064, 91,044334, -4,003324, 156,430347, 22,154902, 31998,000000 
133,066536, 26,636286, -2,823219, 90,663416, -0,854517, 156,179806, 22,709914, 32017,000000 
134,763556, 27,222736, -2,791530, 93,331945, 2,366582, 155,981373, 23,406286, 32035,000000 
136,470687, 27,873347, -2,760757, 94,336466, 5,704576, 155,736828, 24,032221, 32052,000000 
138,056672, 28,532283, -2,731650, 92,665375, 8,768275, 155,511379, 24,560173, 32071,000000 
139,439977, 29,154386, -2,701736, 90,850731, 11,555227, 155,317268, 25,121870, 32104,000000 
141,715015, 30,333691, -2,606189, 90,957667, 15,633478, 154,949718, 26,455522, 32119,000000 
142,730756, 30,975342, -2,544482, 89,686909, 18,404359, 154,718978, 27,098262, 32137,000000 
143,611736, 31,611245, -2,482195, 81,649070, 19,444925, 154,599733, 27,415349, 32174,000000 
144,285162, 32,161612, -2,421567, 79,870299, 21,492882, 154,514074, 28,040251, 32189,000000 
144,777331, 32,608029, -2,362194, 76,941545, 22,954289, 154,440080, 28,636883, 32203,000000 
145,427487, 33,289436, -2,303198, 71,395877, 25,330289, 154,250032, 29,887234, 32233,000000 
145,427487, 33,289436, -2,303198, 71,395877, 25,330289, 154,250032, 29,887234, 32233,000000 
145,581999, 33,465229, -2,272742, 66,520935, 25,313295, 142,594892, 22,318624, 32257,000000 
145,642334, 33,539107, -2,216743, 62,080986, 25,072487, 142,491153, 22,723984, 32267,000000 
145,639138, 33,534519, -2,135916, 59,485024, 25,296617, 142,374119, 23,200506, 32291,000000 
145,633519, 33,525284, -2,073696, 53,687764, 24,005174, 142,328610, 23,635758, 32308,000000 
145,632534, 33,523506, -2,056739, 49,225866, 23,135574, 142,285722, 24,128243, 32321,000000 
145,632637, 33,523705, -2,084222, 43,146681, 21,318689, 142,298033, 24,610536, 32346,000000 
145,632729, 33,523907, -2,155827, 39,476857, 20,525523, 142,282255, 25,195774, 32359,000000 
79,020554, 41,997469, -2,245005, -149,298292, 42,434209, 124,258419, 80,311105, 32379,000000 
